Name,Affiliation,Country
Aibin Yan,Hefei University of Technology & Anhui University,China
Alysson Bessani,"LASIGE, Faculdade de Ciencias, Universidade de Lisboa",Portugal
Amin Hass,Accenture,United States of America
Andrea Bondavalli,University of Florence,Italy
Andrea Ceccarelli,University of Florence,Italy
Andreas Schmidt,Saarland University,Germany
Angelos Keromytis,Georgia Institute of Technology,United States of America
Angelos Stavrou,Virginia Tech,United States of America
Animesh Chhotaray,Georgia Institute of Technology,United States of America
Anne Remke,University of Münster,Germany
Antonio Casimiro,"Lasige, Faculty of Sciences, University of Lisbon",Portugal
Aolin Ding,Accenture Labs,United States of America
Barbara Gallina,Mälardalen University,Sweden
Ben Gras,Intel Corporation,The Netherlands
Bo Fang,Pacific Northwest National Laboratory,United States of America
Chia-Mu Yu,National Yang Ming Chiao Tung University,Taiwan
Chung Hwan Kim,University of Texas at Dallas,United States of America
Chung-Wei Lin,National Taiwan University,Taiwan
Daisuke Mashima,Singapore University of Technology and Design,Singapore
Dan Dongseong Kim,The University of Queensland,Australia
Darya Melnyk,TU Berlin,Germany
Dave Tian,Purdue University,United States of America
Dimitris Gizopoulos,University of Athens,Greece
Domenico Cotroneo,University of Naples Federico II,Italy
Elena Troubitsyna,KTH Royal Institute of Technology,Sweden
Enrico Vicario,University of Florence,Italy
Erci Xu,Alibaba,China
Evgenia Smirni,College of William and Mary,United States of America
Felicita Di Giandomenico,ISTI-CNR Pisa,Italy
Feng Yan,University of Houston,United States of America
Fengwei Zhang,Southern University of Science and Technology (SUSTech),China
Fernando Pedone,University of Lugano,Switzerland
Francois Taiani,"Univ Rennes, CNRS, Inria, IRISA",France
Fumio Machida,University of Tsukuba,Japan
Gilles Tredan,LAAS-CNRS,France
Giuliano Casale,Imperial College London,United Kingdom
Guanpeng Li,University of Iowa,United States of America
Gururaj Saileshwar,University of Toronto,Canada
Haining Wang,Virginia Tech,United States of America
Henrique Madeira,University of Coimbra,Portugal
Hiroshi Yamada,TUAT,Japan
Homa Alemzadeh,University of Virginia,United States of America
Ilir Gashi,"City, University of London",United Kingdom
Jiangshan Yu,The University of Sydney,Australia
Jingwei Li,University of Electronic Science and Technology of China,China
Jose Orlando Pereira,INESC TEC & U. Minho,Portugal
Juan-Carlos Ruiz-Garcia,Universitat Politecnica de Valencia,Spain
Karthik Pattabiraman,University of British Columbia,Canada
Katinka Wolter,Free University Berlin,Germany
Kenji Kono,Keio University,Japan
Keun Soo Yim,Google,United States
Leander Jehl,University of Stavanger,Norway
Lishan Yang,George Mason University,United States of America
Long Wang,Tsinghua University,China
Lorenzo Strigini,"City, University of London",United Kingdom
Luis Garcia,University of Utah Kahlert School of Computing,United States of America
Marc Dacier,KAUST,Saudi Arabia
Marco Vieira,University of North Carolina at Charlotte,United States of America
Marcus Brandenburger,IBM Research,Switzerland
Matti Hiltunen,AT&T Labs - Research,United States of America
Michael Lyu,The Chinese University of Hong Kong,China
Michel Cukier,"University of Maryland, College Park",United States of America
Miguel Correia,"INESC-ID, IST, ULisboa",Portugal
Minesh Patel,Rutgers University,United States of America
Mohamed Kaaniche,"CNRS, LAAS",France
Muslum Ozgur Ozmen,Arizona State University,United States of America
Nader Sehatbakhsh,UCLA,United States of America
Nagmeh Ivaki,"CISUC, University of Coimbra",Portugal
Nils Ole Tippenhauer,CISPA Helmholtz Center for Information Security,Germany
Onur Mutlu,ETH Zurich,Switzerland
Osman Unsal,Barcelona Supercomputing Center,Spain
Pascal Felber,"University of Neuchatel, Switzerland",Switzerland
Peng Liu,The Pennsylvania State University,United States of America
Pradip Bose,IBM T. J. Watson Research Center,United States of America
Regina Moraes,UNICAMP,Brazil
Roberto Natella,University of Naples Federico II,Italy
Rohan Basu Roy,Northeastern University,United States of America
Sameh Elnikety,Microsoft Research,United States of America
Sara Bouchenak,INSA Lyon,France
Saurabh Bagchi,Purdue University and KeyByte,United States of America
Saurabh Jha,IBM Research,United States of America
Shiqing Ma,UMass Amherst,United States of America
Shuai Hao,Old Dominion University,United States of America
Sibin Mohan,The George Washington University,United States of America
Silvia Bonomi,Sapienza University of Rome,Italy
Sisi Duan,Tsinghua University,China
Siva Kumar Sastry Hari,NVIDIA,United States of America
Tadashi Dohi,Hiroshima University,Japan
Tobias Distler,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany
Vana Kalogeraki,Athens University of Economics and Business,Greece
Vilas Sridharan,"AMD, Inc.",United States of America
William Sanders,Carnegie Mellon University,United States of America
Xian Zhang,Microsoft Research,China
Xiapu Luo,The Hong Kong Polytechnic University,China
Xinda Wang,The University of Texas at Dallas,United States of America
Xuhua Ding,Singapore Management University,Singapore
Yennun Huang,Academic Sinica,Taiwan
Yi Han,F5,United States
Yingying Chen,Rutgers University,United States of America
Yongkun Li,University of Science and Technology of China,China
Yousef Safari,McGill University,Canda
Yuchen Zhang,New York University,United States of America
Zheng Zheng,Beihang University,China
Zhi Zhang,The University of Western Australia,Australia
Zhiqiang Lin,Ohio State University,United States of America
Zhongshu Gu,IBM Research,United States of America
